Cuisines,Average_Rating,Restaurant_Count,Total_Votes
"Healthy Food, Continental, Italian",4.0,1,361
"Healthy Food, Continental, Juices, Beverages, Italian, Salad, Lebanese",4.0,1,101
"Healthy Food, North Indian, Continental",4.0,1,162
"Cafe, North Indian",4.0,1,62
"Fast Food, American, Burger",4.0,1,608
"Cafe, European",4.0,5,1296
"Cafe, Continental, Italian, Street Food",4.0,1,341
"Cafe, Grill",4.0,1,235
"Cafe, Continental, Italian, Mexican",4.0,1,134
"Cafe, Beverages, Desserts, Pizza",4.0,1,404
"Cafe, Sri Lankan, Continental, American",4.0,1,209
"Cafe, Bakery, Tea, Vegetarian",4.0,1,185
"Italian, Chinese, Mexican, Thai, North Indian",4.0,1,582
"Cafe, Continental, North Indian, Chinese, Mexican",4.0,1,107
"Indian, Pakistani",4.0,1,63
"Indian, North Indian, Mughlai, Biryani",4.0,1,355
"Italian, Mexican, Continental, North Indian, Finger Food",4.0,1,817
"Cafe, Chinese, Continental",4.0,1,1126
"Cafe, Chinese, Thai, North Indian, Continental",4.0,1,79
"Italian, Mexican, Chinese, Thai, North Indian",4.0,1,1820
"Japanese, Asian, Seafood, Sushi",4.0,1,110
"Italian, North Indian, Desserts",4.0,1,215
"Italian, European, Cafe",4.0,1,1093
"Italian, German, Continental",4.0,1,1583
"Fast Food, Biryani",4.0,1,246
"Cafe, Pizza, Burger",4.0,1,34
"Finger Food, North Indian, Continental, Italian, Mediterranean",4.0,1,24
"Sushi, Thai",4.0,1,340
"Cafe, Kiwi, Ice Cream, Desserts",4.0,1,94
"Fast Food, North Indian, Mughlai",4.0,1,841
"Fast Food, Italian, Chinese",4.0,1,96
"Sushi, Japanese, Healthy Food",4.0,1,53
"Burger, Fast Food, Desserts, Beverages",4.0,1,265
"Burger, Finger Food, Pizza",4.0,1,861
"Burger, Grill",4.0,1,36
"British, Steak",4.0,1,133
"Desserts, Fast Food, Ice Cream",4.0,1,95
"Desserts, American",4.0,1,356
"Cafe, American, Italian",4.0,1,244
"Burger, Seafood",4.0,1,326
"Mediterranean, Tapas, Vegetarian",4.0,1,380
"Continental, Seafood, Burger, South African, Finger Food, Grill",4.0,1,158
"Continental, North Indian, European, Asian",4.0,1,165
"Juices, Desserts",4.0,2,167
"Biryani, Andhra",4.0,1,169
"Breakfast, Mexican, Southwestern",4.0,1,214
"Latin American, Italian",4.0,1,40
"Kerala, Indian, Chinese, Bakery",4.0,1,322
"North Indian, Asian, Italian",4.0,1,242
"North Indian, Chinese, Italian, Lebanese, Mexican",4.0,1,277
"North Indian, Chinese, Italian, Mexican",4.0,1,203
"Bar Food, Sandwich, Seafood",4.0,1,456
"North Indian, Continental, Italian, Asian",4.0,1,93
"North Indian, Hyderabadi, Kashmiri, Chinese",4.0,1,460
"Bakery, Desserts, Cafe",4.0,3,6307
"North Indian, Continental, Italian, Chinese",4.0,2,866
"Continental, Modern Indian, Asian",4.0,1,91
"Continental, Mexican, Beverages, Desserts, North Indian, Chinese, Rajasthani",4.0,1,916
"Continental, Italian, Thai, Finger Food",4.0,1,428
"Chinese, Japanese, Korean, Asian",4.0,1,225
"North Indian, Chinese, Italian, Mexican, Lebanese",4.0,1,537
"Bihari, Lucknowi, North Indian",4.0,1,226
"Malaysian, Thai, Kerala, Vietnamese, Sri Lankan",4.0,1,259
"Lebanese, Arabian, Middle Eastern",4.0,1,380
"North Indian, Lebanese, Mexican, Asian, Italian, American, European",4.0,1,1203
"North Indian, Mangalorean, Chinese",4.0,1,345
"Continental, Italian, North Indian, Chinese",4.0,1,115
"Continental, Italian, North Indian, Lebanese, Thai",4.0,1,212
"Continental, Mediterranean, Italian, North Indian",4.0,1,510
"North Indian, Mughlai, Lebanese, Arabian, Mediterranean",4.0,1,41
"Asian, Thai, Vegetarian",4.0,1,303
"BBQ, Southern",4.0,1,353
"Pakistani, Afghani, Indian, Hyderabadi",4.0,1,277
Pakistani,4.0,2,272
"Continental, Fast Food, Chinese, Charcoal Grill, Mexican",4.0,1,256
"Continental, European, North Indian, French",4.0,1,189
"American, Seafood, Sushi",4.0,1,1270
"Portuguese, African, Lebanese",4.0,1,322
"Peranakan, Indonesian",4.0,1,1159
"North Indian, Rajasthani, Asian",4.0,1,157
